,Survived,Pclass,SibSp,Parch,Sex_cat,Embarked_cat,Title_cat,Is_Alone,Fare_min_max,Age_norm
73,0,3,1,0,1,0,2,0,0.02820447758280795,-0.23442885489346996
74,1,3,0,0,1,2,2,1,0.11028048328225946,0.19068505566458185
75,0,3,0,0,1,2,2,1,0.014931782249721857,-0.3052811733198119
76,0,3,0,0,1,2,2,1,0.015419748989908846,-1.6372531450255567
77,0,3,0,0,1,2,2,1,0.01571252903402104,-0.6107985958455202
78,1,2,0,2,1,2,0,0,0.0566041418616907,-2.017781709684497
79,1,3,0,0,0,2,1,1,0.02435929967013448,0.04898041881189792
80,0,3,0,0,1,2,2,1,0.017566802646731598,-0.5178381285988378
81,1,3,0,0,1,2,2,1,0.018542736127105573,-0.021871899614444048
82,1,3,0,0,0,1,1,1,0.015205043624226571,-0.05356409063287749
83,0,1,0,0,1,2,2,1,0.0919329338512287,-0.09272421804078601
84,1,2,0,0,0,2,1,1,0.02049460308785353,-0.8720997207305476
85,1,3,3,0,0,2,3,0,0.03093709132785509,0.2615373740909238
86,0,3,1,3,1,2,2,0,0.0671051861105147,-0.9429520391568896
87,0,3,0,0,1,2,2,1,0.01571252903402104,1.4430510341661864
88,1,1,3,2,0,2,1,0,0.5133410106767122,-0.44698581017249583
89,0,3,0,0,1,2,2,1,0.01571252903402104,-0.3761334917461539
90,0,3,0,0,1,2,2,1,0.01571252903402104,-0.021871899614444048
91,0,3,0,0,1,2,2,1,0.015322155641871447,-0.6595427654515218
92,0,1,1,0,1,2,2,0,0.1194152206585599,1.1826175136333694
93,0,3,1,2,1,2,2,0,0.04016942205219291,-0.23442885489346996
94,0,3,0,0,1,2,2,1,0.014151035465422675,2.103697653175815
95,0,3,0,0,1,2,2,1,0.01571252903402104,-1.2860079516928613
96,0,1,0,0,1,0,2,1,0.06763219018991665,2.953925474291919
97,1,1,0,1,1,0,2,0,0.12367029063299044,-0.44698581017249583
98,1,2,0,1,0,2,3,0,0.04489294009720297,0.3323896925172658
99,0,2,1,0,1,2,2,0,0.05074854097944684,0.3323896925172658
100,0,3,0,0,0,2,1,1,0.015419748989908846,-0.09272421804078601
101,0,3,0,0,1,2,2,1,0.015419748989908846,-1.7013475325480412
102,0,1,0,1,1,2,2,0,0.15085979739620947,-0.5886904470251798
103,0,3,0,0,1,2,2,1,0.016883649210469812,0.2615373740909238
104,0,3,2,0,1,2,2,0,0.015478304998731283,0.5449466477962916
105,0,3,0,0,1,2,2,1,0.015419748989908846,-0.09272421804078601
106,1,3,0,0,0,2,1,1,0.014931782249721857,-0.5886904470251798
107,1,3,0,0,1,2,2,1,0.015185524954619091,-2.076589133978361
108,0,3,0,0,1,2,2,1,0.015419748989908846,0.6157989662226336
109,1,3,1,0,0,1,1,0,0.047137587102063117,-1.7830564787489631
110,0,1,0,0,1,2,2,1,0.10149708195889368,1.2534698320597113
111,0,3,1,0,0,0,1,0,0.02820447758280795,-1.0492305167964024
112,0,3,0,0,1,2,2,1,0.01571252903402104,-0.5178381285988378
113,0,3,1,0,0,2,1,0,0.0191868522241524,-0.6595427654515218
114,0,3,0,0,0,0,1,1,0.028223996252415433,-0.8720997207305476
115,0,3,0,0,1,2,2,1,0.015478304998731283,-0.5886904470251798
116,0,3,0,0,1,1,2,1,0.015126968945796652,2.9184993150787477
117,0,2,1,0,1,2,2,0,0.04098920617570706,-0.021871899614444048
118,0,1,0,1,1,0,2,0,0.4831261101243339,-0.3761334917461539
119,0,3,4,2,0,2,1,0,0.06105439853219604,-1.9348844971256771
120,0,2,2,0,1,2,2,0,0.1434622216149747,-0.5886904470251798
121,0,3,0,0,1,2,2,1,0.01571252903402104,-0.7732004397857735
122,0,2,1,0,1,0,2,0,0.05869263950969101,0.22611121487775285
123,1,2,0,0,0,2,1,1,0.02537427048972342,0.22611121487775285
124,0,1,0,1,1,2,2,0,0.15085979739620947,1.749436061044105
125,1,3,1,0,1,0,0,0,0.021938984638807016,-1.2263613128622575
126,0,3,0,0,1,1,2,1,0.015126968945796652,0.04762762628538226
127,1,3,0,0,1,2,2,1,0.013936330099740398,-0.3761334917461539
128,1,3,1,1,0,0,1,0,0.043643745242324276,0.1174299147696923
129,0,3,0,0,1,2,2,1,0.013624031386020728,1.1117651952070273
130,0,3,0,0,1,0,2,1,0.015419748989908846,0.2615373740909238
131,0,3,0,0,1,2,2,1,0.013760662073273084,-0.6595427654515218
132,0,3,1,0,0,2,3,0,0.02830207093084535,1.2534698320597113
133,1,2,1,0,0,2,3,0,0.05074854097944684,-0.021871899614444048
134,0,2,0,0,1,2,2,1,0.02537427048972342,-0.3052811733198119
135,0,2,0,0,1,0,2,1,0.029375597759256727,-0.44698581017249583
136,1,1,0,2,0,2,1,0,0.05129506372845626,-0.7303950838778637
137,0,1,1,0,1,2,2,0,0.10364413561571642,0.5449466477962916
138,0,3,0,0,1,2,2,1,0.01799621337809615,-0.9429520391568896
139,0,1,0,0,1,0,2,1,0.15458786329123805,-0.3761334917461539
140,0,3,0,2,0,0,3,0,0.029765971151406317,0.5577036750386571
141,1,3,0,0,0,2,1,1,0.015126968945796652,-0.5178381285988378
142,1,3,1,0,0,2,3,0,0.03093709132785509,-0.3761334917461539
143,0,3,0,0,1,1,2,1,0.013175101985048697,-0.7303950838778637
144,0,2,0,0,1,2,2,1,0.022446470048601484,-0.8012474023042057
145,0,2,1,1,1,2,2,0,0.07173111080748736,-0.7303950838778637
146,1,3,0,0,1,2,2,1,0.01522456229383405,-0.16357653646712797
147,0,3,2,2,0,2,1,0,0.0671051861105147,-1.4389182681412833
148,0,2,0,2,1,2,2,0,0.05074854097944684,0.5095204885831207
149,0,2,0,0,1,2,4,1,0.02537427048972342,0.8992082399280015
150,0,2,0,0,1,2,4,1,0.024456893018171878,1.5368791057650792
151,1,1,1,0,0,2,3,0,0.1299943395858138,-0.5178381285988378
152,0,3,0,0,1,2,2,1,0.01571252903402104,1.855714538683618
153,0,3,0,2,1,2,2,0,0.02830207093084535,0.7929297622884885
154,0,3,0,0,1,2,2,1,0.014268147483067551,-1.1479773667718376
155,0,1,0,1,1,0,2,0,0.1198055940507095,1.5368791057650792
156,1,3,0,0,0,1,1,1,0.015087931606581693,-0.9429520391568896
157,0,3,0,0,1,2,2,1,0.01571252903402104,0.04898041881189792
158,0,3,0,0,1,2,2,1,0.016903167880077292,0.0939031551616339
159,0,3,8,2,1,2,0,0,0.13575234712002027,0.20564843189649834
160,0,3,0,1,1,2,2,0,0.03142505806804208,1.0409128767806854
161,1,2,0,0,0,2,3,1,0.030741904631780295,0.7575036030753176
162,0,3,0,0,1,2,2,1,0.015185524954619091,-0.23442885489346996
163,0,3,0,0,1,2,2,1,0.016903167880077292,-0.8720997207305476
164,0,3,4,1,1,2,0,0,0.07746959967208633,-2.005736815552019
165,1,3,0,2,1,2,0,0,0.04007182870415552,-1.4389182681412833
166,1,1,0,1,0,2,3,0,0.10735268284113754,0.5449466477962916
167,0,3,1,4,0,2,3,0,0.05445708820486795,1.1117651952070273
168,0,1,0,0,1,2,2,1,0.05061191029219448,0.5449466477962916
169,0,3,0,0,1,2,2,1,0.11028048328225946,-0.09272421804078601
170,0,1,0,0,1,2,2,1,0.0653875431850565,2.245402290028499
171,0,3,4,1,1,1,0,0,0.056857884566587934,-1.7931798602729931
172,1,3,1,1,0,2,1,0,0.021724279273124744,-2.005736815552019
173,0,3,0,0,1,2,2,1,0.015478304998731283,-0.5886904470251798
174,0,1,0,0,1,0,2,1,0.059922315694962223,1.891140697896789
175,0,3,1,1,1,2,2,0,0.015322155641871447,-0.8012474023042057
176,0,3,3,1,1,2,0,0,0.04971405149025042,0.37297128606132424
177,0,1,0,0,0,0,1,1,0.05603810044307379,1.4660267873387371
178,0,2,0,0,1,2,2,1,0.02537427048972342,0.04898041881189792
179,0,3,0,0,1,2,2,1,0.0,0.4740943293699497
180,0,3,8,2,0,2,1,0,0.13575234712002027,-0.05489303639458028
181,0,2,0,0,1,0,2,1,0.029375597759256727,-0.021871899614444048
182,0,3,4,2,1,2,0,0,0.06126910389787831,-1.4389182681412833
183,1,2,2,1,1,2,0,0,0.07612281146917026,-2.005736815552019
184,1,3,0,2,0,2,1,0,0.042999629145277454,-1.7931798602729931
185,0,1,0,0,1,2,2,1,0.09759334803739776,0.5449466477962916
186,1,3,1,0,0,1,3,0,0.030253937891593304,-0.7199842121282917
187,1,1,0,0,1,2,2,1,0.05182206780785821,1.1117651952070273
188,0,3,1,1,1,1,2,0,0.030253937891593304,0.7575036030753176
189,0,3,0,0,1,2,2,1,0.015419748989908846,0.4740943293699497
190,1,2,0,0,0,2,3,1,0.02537427048972342,0.19068505566458185
191,0,2,0,0,1,2,2,1,0.02537427048972342,-0.7303950838778637
192,1,3,1,0,0,2,1,0,0.015322155641871447,-0.7303950838778637
193,1,2,1,1,1,2,0,0,0.05074854097944684,-1.8640321786993352
194,1,1,0,0,0,0,3,1,0.05410575215193331,1.0409128767806854
195,1,1,0,0,0,0,1,1,0.28598754708879043,2.032845334749473
196,0,3,0,0,1,1,2,1,0.015126968945796652,-0.1016511978020118
197,0,3,0,1,1,2,2,0,0.016395682470282825,0.8992082399280015
198,1,3,0,0,0,1,1,1,0.015126968945796652,0.07232066323431463
199,0,2,0,0,0,2,1,1,0.02537427048972342,-0.3761334917461539
200,0,3,0,0,1,2,2,1,0.018542736127105573,-0.09272421804078601
201,0,3,8,2,1,2,2,0,0.13575234712002027,-1.0197168149273919
202,0,3,0,0,1,2,2,1,0.01268713524486171,0.3323896925172658
203,0,3,0,0,1,0,2,1,0.014111998126207717,1.1471913544201984
204,1,3,0,0,1,2,2,1,0.01571252903402104,-0.8012474023042057
205,0,3,0,1,0,2,1,0,0.020416528409423613,-1.9348844971256771
206,0,3,1,0,1,2,2,0,0.03093709132785509,0.19068505566458185
207,1,3,0,0,1,0,2,1,0.03667558019245407,-0.23442885489346996
208,1,3,0,0,0,1,1,1,0.015126968945796652,-0.9429520391568896
209,1,1,0,0,1,0,2,1,0.06050787578318661,0.7575036030753176
210,0,3,0,0,1,2,2,1,0.013760662073273084,-0.3761334917461539
211,1,2,0,0,0,2,1,1,0.04098920617570706,0.40324201094360773
212,0,3,0,0,1,2,2,1,0.014151035465422675,-0.5178381285988378
213,0,2,0,0,1,2,2,1,0.02537427048972342,0.04898041881189792
214,0,3,1,0,1,1,2,0,0.015126968945796652,-0.6296464667311943
215,1,1,1,0,0,0,1,0,0.22110748931352836,0.11983273723823988
216,1,3,0,0,0,2,1,1,0.015478304998731283,-0.16357653646712797
217,0,2,1,0,1,2,2,0,0.05270040794019479,0.8992082399280015
218,1,1,0,0,0,0,1,1,0.14890793043546152,0.19068505566458185
219,0,2,0,0,1,2,2,1,0.02049460308785353,0.04898041881189792
220,1,3,0,0,1,2,2,1,0.01571252903402104,-0.9429520391568896
221,0,2,0,0,1,2,2,1,0.02537427048972342,-0.16357653646712797
222,0,3,0,0,1,2,2,1,0.01571252903402104,1.5368791057650792
223,0,3,0,0,1,2,2,1,0.015419748989908846,0.9563927557336274
224,1,1,1,0,1,2,2,0,0.17566802646731597,0.6157989662226336
225,0,3,0,0,1,2,2,1,0.01824995608299338,-0.5178381285988378
226,1,2,0,0,1,2,2,1,0.02049460308785353,-0.7303950838778637
227,0,3,0,0,1,2,2,1,0.014151035465422675,-0.6241166062383507
228,0,2,0,0,1,2,2,1,0.02537427048972342,-0.8012474023042057
229,0,3,3,1,0,2,1,0,0.04971405149025042,0.5272411189212809
230,1,1,1,0,0,2,3,0,0.1629418538832393,0.40324201094360773
231,0,3,0,0,1,2,2,1,0.015185524954619091,-0.021871899614444048
232,0,2,0,0,1,2,2,1,0.026350203970097394,2.103697653175815
233,1,3,4,2,0,2,1,0,0.06126910389787831,-1.7223275418466513
234,0,2,0,0,1,2,2,1,0.02049460308785353,-0.3761334917461539
235,0,3,0,0,0,2,1,1,0.01473659555364706,-2.076589133978361
236,0,2,1,0,1,2,2,0,0.05074854097944684,1.0409128767806854
237,1,2,0,2,0,2,1,0,0.051236507719633825,-1.5097705865676254
238,0,2,0,0,1,2,2,1,0.02049460308785353,-0.7303950838778637
239,0,2,0,0,1,2,2,1,0.023968926277984887,0.2615373740909238
240,0,3,1,0,0,0,1,0,0.02820447758280795,0.4675622422857931
241,1,3,1,0,0,1,1,0,0.030253937891593304,-1.902531890159293
242,0,2,0,0,1,2,2,1,0.02049460308785353,-0.021871899614444048
243,0,3,0,0,1,2,2,1,0.01391681143013292,-0.5178381285988378
244,0,3,0,0,1,0,2,1,0.014111998126207717,0.04898041881189792
245,0,1,2,0,1,1,4,0,0.17566802646731597,1.0409128767806854
246,0,3,0,0,0,2,1,1,0.015185524954619091,-0.3052811733198119
247,1,2,0,2,0,2,3,0,0.02830207093084535,-0.3761334917461539
248,1,1,1,1,1,2,2,0,0.10257060878730503,0.5449466477962916
249,0,2,1,0,1,2,4,0,0.05074854097944684,1.749436061044105
250,0,3,0,0,1,2,2,1,0.014151035465422675,0.6787737297509827
251,0,3,1,1,0,2,3,0,0.020416528409423613,-0.021871899614444048
252,0,1,0,0,1,2,2,1,0.05182206780785821,2.316254608454841
253,0,3,1,0,1,2,2,0,0.03142505806804208,0.04898041881189792
254,0,3,0,2,0,2,3,0,0.03944723127671618,0.8283559215016596
255,1,3,0,2,0,0,3,0,0.029765971151406317,-0.021871899614444048
256,1,1,0,0,0,0,3,1,0.15458786329123805,0.5449466477962916
257,1,1,0,0,0,2,1,1,0.16883649210469812,0.04898041881189792
258,1,1,0,0,0,0,1,1,1.0,0.40324201094360773
259,1,2,0,1,0,2,3,0,0.05074854097944684,1.4660267873387371
260,0,3,0,0,1,1,2,1,0.015126968945796652,0.29939280494311094
261,1,3,4,2,1,2,0,0,0.06126910389787831,-1.8640321786993352
262,0,1,1,1,1,2,2,0,0.15546620342357464,1.6077314241914211
263,0,1,0,0,1,2,2,1,0.0,0.7575036030753176
264,0,3,0,0,0,1,1,1,0.015126968945796652,-0.09951004853292293
265,0,2,0,0,1,2,2,1,0.02049460308785353,0.4740943293699497
266,0,3,4,1,1,2,2,0,0.07746959967208633,-0.9429520391568896
267,1,3,1,0,1,2,2,0,0.015185524954619091,-0.3052811733198119
268,1,1,0,1,0,2,3,0,0.2995335037963812,2.032845334749473
269,1,1,0,0,0,2,1,1,0.26473171588624517,0.40324201094360773
270,0,1,0,0,1,2,2,1,0.06050787578318661,0.5449466477962916
271,1,3,0,0,1,2,2,1,0.0,-0.3052811733198119
272,1,2,0,1,0,2,3,0,0.03806140573458513,0.8283559215016596
273,0,1,0,1,1,0,2,0,0.05797044873421427,0.5449466477962916
274,1,3,0,0,0,1,1,1,0.015126968945796652,1.254776212775042
275,1,1,1,0,0,2,1,0,0.15216754825991058,2.387106926881183
276,0,3,0,0,0,2,1,1,0.015126968945796652,1.1117651952070273
277,0,2,0,0,1,2,2,1,0.0,-0.021871899614444048
278,0,3,4,1,1,1,0,0,0.056857884566587934,-1.5806229049939673
279,1,3,1,1,0,2,3,0,0.03952530595514609,0.40324201094360773
280,0,3,0,0,1,1,2,1,0.015126968945796652,2.528811563733867
281,0,3,0,0,1,2,2,1,0.015322155641871447,-0.09272421804078601
282,0,3,0,0,1,2,2,1,0.018542736127105573,-0.9429520391568896
283,1,3,0,0,1,2,2,1,0.01571252903402104,-0.7303950838778637
284,0,1,0,0,1,2,2,1,0.05074854097944684,0.5449466477962916
285,0,3,0,0,1,0,2,1,0.016903167880077292,0.2615373740909238
286,1,3,0,0,1,2,2,1,0.018542736127105573,0.04898041881189792
287,0,3,0,0,1,2,2,1,0.015419748989908846,-0.5178381285988378
288,1,2,0,0,1,2,2,1,0.02537427048972342,0.8992082399280015
289,1,3,0,0,0,1,1,1,0.015126968945796652,-0.5178381285988378
290,1,1,0,0,0,2,1,1,0.15390470985497626,-0.23442885489346996
291,1,1,1,0,0,0,3,0,0.17777604278492376,-0.7303950838778637
292,0,2,0,0,1,0,2,1,0.025140046454433664,0.4740943293699497
293,0,3,0,0,0,2,1,1,0.017274022602619402,-0.3761334917461539
294,0,3,0,0,1,2,2,1,0.015419748989908846,-0.3761334917461539
295,0,1,0,0,1,0,2,1,0.05410575215193331,0.5449466477962916
296,0,3,0,0,1,0,2,1,0.014111998126207717,-0.41155965095932484
297,0,1,1,2,0,2,1,0,0.2958054379013526,-1.9348844971256771
298,1,1,0,0,1,2,2,1,0.059531942302812633,0.5449466477962916
299,1,1,0,1,0,0,3,0,0.4831261101243339,1.4660267873387371
300,1,3,0,0,0,1,1,1,0.015126968945796652,-1.4207756907077895
301,1,3,2,0,1,1,2,0,0.045380906837389955,0.46461535620042077
302,0,3,0,0,1,2,2,1,0.0,-0.7303950838778637
303,1,2,0,0,0,1,1,1,0.024105556965237245,-0.021871899614444048
304,0,3,0,0,1,2,2,1,0.01571252903402104,-0.6236211288903634
305,1,1,1,2,1,2,0,0,0.2958054379013526,-2.011405001026126
306,1,1,0,0,0,0,1,1,0.21642300860773325,0.5449466477962916
307,1,1,1,0,0,0,3,0,0.21255831202545233,-0.8720997207305476
308,0,2,1,0,1,0,2,0,0.046844807057950924,0.04898041881189792
309,1,1,0,0,0,0,1,1,0.11111978607538109,0.04898041881189792
310,1,1,0,0,0,0,1,1,0.16231725645579995,-0.3761334917461539
311,1,1,2,2,0,0,1,0,0.5121308531610484,-0.8012474023042057
312,0,2,1,1,0,2,3,0,0.05074854097944684,-0.23442885489346996
313,0,3,0,0,1,2,2,1,0.015419748989908846,-0.09272421804078601
314,0,2,1,1,1,2,2,0,0.051236507719633825,0.9700605583543435
315,1,3,0,0,0,2,1,1,0.015322155641871447,-0.23442885489346996
316,1,2,1,0,0,2,3,0,0.05074854097944684,-0.3761334917461539
317,0,2,0,0,1,2,4,1,0.027326137450471372,1.749436061044105
318,1,1,0,2,0,2,1,0,0.3218043058185154,0.11983273723823988
319,1,1,1,1,0,0,3,0,0.26252610622059996,0.7575036030753176
320,0,3,0,0,1,2,2,1,0.014151035465422675,-0.5178381285988378
321,0,3,0,0,1,2,2,1,0.015419748989908846,-0.16357653646712797
322,1,2,0,0,0,1,1,1,0.024105556965237245,0.04898041881189792
323,1,2,1,1,0,2,3,0,0.0566041418616907,-0.5178381285988378
324,0,3,8,2,1,2,2,0,0.13575234712002027,-2.076589133978361
325,1,1,0,0,0,0,1,1,0.26473171588624517,0.4740943293699497
326,0,3,0,0,1,2,2,1,0.01217964983506724,2.245402290028499
327,1,2,0,0,0,2,3,1,0.02537427048972342,0.4740943293699497
328,1,3,1,1,0,2,3,0,0.04007182870415552,0.11983273723823988
329,1,1,0,1,0,0,1,0,0.11316924638416644,-0.9429520391568896
330,1,3,2,0,0,1,1,0,0.045380906837389955,-1.6229280260332644
331,0,1,0,0,1,2,2,1,0.05562820838131672,1.1471913544201984
332,0,1,0,1,1,2,2,0,0.2995335037963812,0.6157989662226336
333,0,3,2,0,1,2,2,0,0.035133605293463196,-0.9429520391568896
334,1,1,1,0,0,2,3,0,0.2608670193039642,0.5449466477962916
335,0,3,0,0,1,2,2,1,0.015419748989908846,-0.005778909282346035
336,0,1,1,0,1,2,2,0,0.1299943395858138,-0.021871899614444048
337,1,1,0,0,0,0,1,1,0.26252610622059996,0.8283559215016596
338,1,3,0,0,1,2,2,1,0.01571252903402104,1.1117651952070273
339,0,1,0,0,1,2,2,1,0.0692912771065524,1.1117651952070273
340,1,2,1,1,1,2,0,0,0.05074854097944684,-1.9348844971256771
341,1,1,3,2,0,2,1,0,0.5133410106767122,-0.3761334917461539
342,0,2,0,0,1,2,2,1,0.02537427048972342,-0.09272421804078601
343,0,2,0,0,1,2,2,1,0.02537427048972342,-0.3052811733198119
344,0,2,0,0,1,2,2,1,0.02537427048972342,0.4740943293699497
345,1,2,0,0,0,2,1,1,0.02537427048972342,-0.3761334917461539
346,1,2,0,0,0,2,1,1,0.02537427048972342,0.7575036030753176
347,1,3,1,0,0,2,3,0,0.03142505806804208,3.414732307293156
348,1,3,1,1,1,2,0,0,0.031034684675892488,-1.8640321786993352
349,0,3,0,0,1,2,2,1,0.016903167880077292,0.8992082399280015
350,0,3,0,0,1,2,2,1,0.018015732047703625,-0.44698581017249583
351,0,1,0,0,1,2,2,1,0.06831534362617843,0.5449466477962916
352,0,3,1,1,1,0,2,0,0.014111998126207717,-1.0138043575832316
353,0,3,1,0,1,2,2,0,0.034743231901313607,-0.3052811733198119
354,0,3,0,0,1,0,2,1,0.014111998126207717,0.5234492247050908
355,0,3,0,0,1,2,2,1,0.018542736127105573,-0.09272421804078601
356,1,1,0,1,0,2,1,0,0.10735268284113754,-0.5178381285988378
357,0,2,0,0,0,2,1,1,0.02537427048972342,0.6157989662226336
358,1,3,0,0,0,1,1,1,0.015380711650693886,-2.076589133978361
359,1,3,0,0,0,1,1,1,0.015380711650693886,0.07313862136700346
360,0,3,1,4,1,2,2,0,0.05445708820486795,0.7575036030753176
361,0,2,1,0,1,0,2,0,0.05410575215193331,-0.021871899614444048
362,0,3,0,1,0,0,3,0,0.02820447758280795,1.1117651952070273
363,0,3,0,0,1,2,2,1,0.013760662073273084,0.40324201094360773
364,0,3,1,0,1,1,2,0,0.030253937891593304,-0.23553260577185595
365,0,3,0,0,1,2,2,1,0.014151035465422675,0.04898041881189792
366,1,1,1,0,0,0,3,0,0.14687798879628364,2.174549971602157
367,1,3,0,0,0,0,3,1,0.014111998126207717,-0.0874437449553857
368,1,3,0,0,0,1,1,1,0.015126968945796652,-0.6573239889653185
369,1,1,0,0,0,0,3,1,0.1352643803798333,-0.3761334917461539
370,1,1,1,0,1,0,2,0,0.10821150430386663,-0.3052811733198119
371,0,3,1,0,1,2,2,0,0.01268713524486171,-0.8012474023042057
372,0,3,0,0,1,2,2,1,0.01571252903402104,-0.7303950838778637
373,0,1,0,0,1,0,2,1,0.26473171588624517,-0.5178381285988378
374,0,3,3,1,0,2,1,0,0.041145355532566895,-1.8640321786993352
375,1,1,1,0,0,0,3,0,0.16038490816465947,0.5449466477962916
376,1,3,0,0,0,2,1,1,0.014151035465422675,-0.5178381285988378
377,0,1,0,2,1,0,2,0,0.4128198621981925,-0.16357653646712797
378,0,3,0,0,1,0,2,1,0.007826986512599299,-0.6595427654515218
379,0,3,0,0,1,2,2,1,0.015185524954619091,-0.7303950838778637
380,1,1,0,0,0,0,1,1,0.44410828957898224,0.8992082399280015
